status	key	command
Conversion	Shift Left	SegmentWidthShrink
Conversion	Muhenkan	SwitchKanaType
Conversion	Eisu	ToggleAlphanumericMode
DirectInput	Ctrl Space	IMEOn
DirectInput	Eisu	IMEOn
DirectInput	F13	IMEOn
DirectInput	Hiragana	IMEOn
DirectInput	Katakana	IMEOn
DirectInput	Henkan	Reconvert
Precomposition	Ctrl [	IMEOff
Precomposition	Backspace	Revert
Precomposition	Ctrl Space	IMEOff
Precomposition	Escape	IMEOff
Precomposition	Hankaku/Zenkaku	IMEOff
Precomposition	Shift Space	InsertAlternateSpace
Precomposition	Space	InsertSpace
Precomposition	Henkan	Reconvert
Precomposition	Katakana	InputModeFullKatakana
Precomposition	Hiragana	InputModeHiragana
Precomposition	Muhenkan	InputModeSwitchKanaType
Precomposition	Eisu	ToggleAlphanumericMode
Precomposition	Shift Muhenkan	ToggleAlphanumericMode
Precomposition	Ctrl Backspace	Undo
Prediction	Ctrl Delete	DeleteSelectedCandidate
Suggestion	Shift Enter	CommitFirstSuggestion
Suggestion	Down	PredictAndConvert
Composition	ASCII	InsertCharacter
Composition	Kanji	IMEOff
Composition	OFF	IMEOff
Composition	ON	IMEOn
Conversion	Kanji	IMEOff
Conversion	OFF	IMEOff
Conversion	ON	IMEOn
DirectInput	Kanji	IMEOn
DirectInput	ON	IMEOn
Precomposition	ASCII	InsertCharacter
Precomposition	Kanji	IMEOff
Precomposition	OFF	IMEOff
Precomposition	ON	IMEOn
